Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate - 2010,Population Estimate - 2011,Population Estimate - 2012,Population Estimate - 2013,Population Estimate - 2014,Population Estimate - 2015,Population Estimate - 2016,Population Estimate - 2017
0500000US36005,36005,"Bronx County, New York",1385108,1384794,1388122,1400899,1417864,1432881,1445800,1460412,1468976,1471160
0500000US36047,36047,"Kings County, New York",2504700,2504706,2510842,2546662,2579267,2605783,2626644,2643546,2650859,2648771
0500000US36061,36061,"New York County, New York",1585873,1586184,1589217,1611550,1630367,1638790,1646521,1657183,1662164,1664727
0500000US36081,36081,"Queens County, New York",2230722,2230545,2235764,2262013,2284413,2307766,2328004,2346005,2356044,2358582
0500000US36085,36085,"Richmond County, New York",468730,468730,469758,471564,471593,473422,474166,475313,477383,479458
